feature,importance
area_gap_clip,0.4301132096413039
rural_x_bldg_clip,0.3594411946960234
poi_gap_clip,0.34962019049646126
ws_dist_x_bldg,0.3221511484071595
cvi_ext_x_bldg,0.32058418398416644
carbon_x_bldg,0.2656105639094759
svi_min_x_bldg,0.24049742506721475
uncertainty_x_rural,0.18243230437078622
burn_pct_x_bldg,0.17469460849392127
is_perfectly_mapped,0.13265749805461757
prediction_spread,0.13218606292435056
stale_x_bldg_gap,0.12600418412888328
source_coverage_fraction_x_bldg,0.11056166290514548
cvi_x_bldg,0.10178134130647055
stale_x_rural,0.08859468691289742
rural_x_risk,0.08672072288228834
ghcn_temp_stations_in_tract,0.08663789875275506
nifc_wildfire_fires_wfigs,0.07794575706816953
ws_dist_x_rural,0.07559200763346999
fod_natural_fires,0.07345061660176298
shadow_score,0.07092008826294188
nifc_wildfire_fires,0.06921598469884886
rural_continuous,0.0655906577110389
mtbs_wildfire_fires,0.06549592179665448
rural_indicator,0.06375785485763537
ghcn_stations_in_tract,0.062491371143087004
fod_large_fires,0.06091712324222538
cvi_baseline_environment,0.05965884995652928
fod_largest_fire_acres,0.05885838802493716
fod_fires,0.057598574570653475
ALAND,0.05667580681920858
ghcn_anchor_unreliable,0.05611588080905643
nifc_wildfire_last_year,0.052108880516201925
usfs_FLEP4_mean,0.048703516121593786
high_uncertainty_flag,0.04571515919591713
pop_urban,0.04396377507430242
bldg_road_diff,0.04077967582529729
pct_urban_x_bldg,0.04031393056067158
tiger_road_knn5_mean,0.040194150847249255
cvi_ext_x_rural,0.03545195867794791
road_gap_clip,0.035291236677678264
usfs_CFL_mean,0.03491371241815809
mtbs_wildfire_last_year,0.03324322211134184
usgs_last_year_burned,0.03272695666414733
usgs_wildfire_fires_per_burned_pixel,0.03218077924691086
bldg_road_product,0.031737794243568665
fod_human_fires,0.03084130483726637
usfs_Exposure_mean,0.026343989200159557
usfs_BP_mean,0.024563677683959225
carb_bldg_x_rural,0.024306004573020096
rucc_2023,0.023721276691968624
compound_risk,0.023160379179851653
svi_min_x_rural,0.022810967571657105
carbon_x_rural,0.02216856509788819
carbonplan_crps_mean,0.020965655041339234
carbonplan_bp_2011_mean,0.02036546853558735
rucc_metro,0.017731105719659208
nchs_2013,0.01660648374441471
burn_pct_x_rural,0.016082967078409175
usfs_CRPS_mean,0.015931121444937406
all_19_sources_covered,0.011573076520881836
tiger_road,0.008832144379943875
neighbor_rural_fraction,0.006244512206280614
uhe_overlap_frac,0.006198918132073306
cvi_health_x_rural,0.004867074541359086
road_gap_abs,0.0023939801558890967
pop_rural,0.0019186365688459433
uhe_covered,1.8787849711828292e-05
