,RMSE,R2,Bias
road_xgb,0.01455853312876527,0.9996263582046183,0.006735179341863354
blend,0.03321769002244156,0.9829535886656923,0.004861476812324407
xgb,0.0335812847881953,0.9820117444708062,0.004794498393672236
cat,0.03368006463835612,0.9813384594498032,0.006439602273861459
lgb,0.03592377726850848,0.978396511879051,0.007100425793585061
